rowId,parentDocId,prodId,price,qty,catId,plusInsurance,carNo,prodPriceRowId,prodStockRowId,insurancePrice,accessoriesHelmet,accessoriesRaincoat,accessoriesHelmetFull,fromVoltage,toVoltage,fromSoc,toSoc
2716,17104707424050848,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2717,17104707497520657,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2718,17104708355130666,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2719,17104710411780989,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2720,17104710483470177,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2721,17104710562620437,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2722,17104712528610252,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2723,17104712629240037,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2724,17104712721160431,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2725,17104714572600031,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2726,17104714643500766,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2727,17104714712680800,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2728,17104717632340713,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2729,17104717936590040,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2730,17104718020380128,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2731,17104723837370026,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2732,17104723911780332,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2733,17104724074790684,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2734,17104728347200681,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2735,17104728424920383,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2736,17104728498230977,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2737,17104730292110747,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2738,17104730381300580,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2739,17104730481830948,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2740,17104733616340506,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2741,17104733706950703,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2742,17104733775000717,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2743,17104735307670497,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2744,17104735398610975,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2745,17104735472220095,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2746,17104737151320868,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2747,17104737221880637,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2748,17104737293000415,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
